0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:35:43 +0530] "GET /Online_FIR_System/login HTTP/1.1" 200 12375
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:35:53 +0530] "POST /Online_FIR_System/surl HTTP/1.1" 200 17884
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:35:53 +0530] "GET /Online_FIR_System/images/milky-way.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:03 +0530] "GET /Online_FIR_System/information.jsp HTTP/1.1" 200 10877
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:07 +0530] "GET /Online_FIR_System/complainServlet HTTP/1.1" 200 18430
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:18 +0530] "GET /Online_FIR_System/trackComplaint HTTP/1.1" 200 11027
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:21 +0530] "POST /Online_FIR_System/track HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:28 +0530] "GET /Online_FIR_System/logoutServlet HTTP/1.1" 200 8962
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:30 +0530] "GET /Online_FIR_System/emergency.jsp HTTP/1.1" 200 15447
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:31 +0530] "GET /Online_FIR_System/trackComplaint HTTP/1.1" 200 12423
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:33 +0530] "GET /Online_FIR_System/Welcome.jsp HTTP/1.1" 200 17843
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:36:33 +0530] "GET /Online_FIR_System/images/milky-way.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:37:39 +0530] "GET /Online_FIR_System/Welcome.jsp HTTP/1.1" 200 17844
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:37:39 +0530] "GET /Online_FIR_System/images/milky-way.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:39:24 +0530] "GET /Online_FIR_System/Welcome.jsp HTTP/1.1" 200 17849
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:39:24 +0530] "GET /Online_FIR_System/images/milky-way.jpg HTTP/1.1" 304 -
